Sample,X(ms) [21.03.2012 03:10:24 063 UTC],"Signals_DB.Heater_Tout","Signals_DB.Heater_Tout_SP","Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_PWR"
167,1332299474163.254380,22.7000007629395,40,2.48993277549744,3.19000005722046,40
168,1332299474463.316940,22.7999992370605,40,2.47611212730408,3.15000009536743,40
169,1332299474763.209120,22.7999992370605,40,2.49862551689148,3.10999989509583,40
170,1332299475063.214480,22.7999992370605,40,2.3005039691925,3.08999991416931,40
171,1332299475363.208960,22.7999992370605,40,2.23624682426453,3.07999992370605,40
172,1332299475663.223320,22.8999996185303,40,2.25222659111023,3.0699999332428,40
173,1332299475963.178320,22.8999996185303,40,2.2810914516449,3.02999997138977,40
174,1332299476263.238240,22.8999996185303,40,2.08893942832947,2.95000004768372,40
175,1332299476563.171800,23,40,2.26030230522156,2.86999988555908,40
176,1332299476863.218600,23,40,2.02162742614746,2.80999994277954,40
177,1332299477163.225040,23.1000003814697,40,2.18341016769409,2.76999998092651,40
178,1332299477463.239200,23.1000003814697,40,1.93636250495911,2.74000000953674,40
179,1332299477763.241260,23.1000003814697,40,1.8622899055481,2.71000003814697,40
180,1332299478063.269480,23.2000007629395,40,1.87019419670105,2.66000008583069,40
181,1332299478363.227460,23.2000007629395,40,1.8977689743042,2.58999991416931,40
182,1332299478663.224460,23.2000007629395,40,1.70521545410156,2.53999996185303,40
183,1332299478963.215880,23.2999992370605,40,1.64264523983002,2.5,40
184,1332299479263.227200,23.2999992370605,40,1.68982195854187,2.46000003814697,40
185,1332299479563.250740,23.2999992370605,40,1.59628438949585,2.42000007629395,40
186,1332299479863.236420,23.3999996185303,40,1.66003632545471,2.38000011444092,40
187,1332299480163.180260,23.5,40,1.65904235839844,2.32999992370605,40
188,1332299480463.222300,23.6000003814697,40,1.63138031959534,2.29999995231628,40
189,1332299480763.221720,23.7000007629395,40,1.61151206493378,2.27999997138977,40
190,1332299481063.295640,23.7000007629395,40,1.52300715446472,2.25,40
191,1332299481363.232380,23.7999992370605,40,1.6359258890152,2.22000002861023,40
192,1332299481663.307200,23.8999996185303,40,1.53663504123688,2.1800000667572,40
193,1332299481963.171380,23.8999996185303,40,1.38516247272491,2.16000008583069,40
194,1332299482263.241240,23.8999996185303,40,1.20822179317474,2.14000010490417,40
195,1332299482563.225660,23.8999996185303,40,1.14984285831451,2.08999991416931,40
196,1332299482863.263480,23.8999996185303,40,1.05676925182343,2,40
197,1332299483163.236480,23.8999996185303,40,1.01589286327362,1.91999995708466,40
198,1332299483463.267480,23.8999996185303,40,0.938583970069885,1.85000002384186,40
199,1332299483763.246160,23.8999996185303,40,0.90099424123764,1.79999995231628,40
200,1332299484063.240740,24,40,1.06089413166046,1.75,40
201,1332299484363.235920,24,40,0.935460686683655,1.70000004768372,40
202,1332299484663.230600,24.1000003814697,40,0.899349451065063,1.64999997615814,40
203,1332299484963.305620,24.1000003814697,40,0.918945074081421,1.62000000476837,40
204,1332299485263.269840,24.2000007629395,40,0.838588654994965,1.61000001430511,40
205,1332299485563.218660,24.2000007629395,40,0.849078893661499,1.5900000333786,40
206,1332299485863.245600,24.2999992370605,40,0.9140345454216,1.57000005245209,40
207,1332299486163.252860,24.3999996185303,40,0.800000011920929,1.52999997138977,40
208,1332299486463.272820,24.5,40,0.883724868297577,1.48000001907349,40
209,1332299486763.222280,24.5,40,0.848233819007874,1.45000004768372,40
210,1332299487063.272740,24.6000003814697,40,0.800000011920929,1.42999994754791,40
211,1332299487362.922380,24.7000007629395,40,0.884867787361145,1.4099999666214,40
212,1332299487663.240100,24.7999992370605,40,0.800000011920929,1.38999998569489,40
213,1332299487963.226860,24.8999996185303,40,0.85027277469635,1.37000000476837,40
214,1332299488263.236240,25,40,0.800000011920929,1.36000001430511,40
215,1332299488563.221060,25.1000003814697,40,0.800000011920929,1.35000002384186,40
216,1332299488863.253280,25.2000007629395,40,0.800000011920929,1.33000004291534,40
217,1332299489163.296780,25.2999992370605,40,0.800000011920929,1.32000005245209,40
218,1332299489463.252960,25.3999996185303,40,0.800000011920929,1.30999994277954,40
219,1332299489763.282360,25.5,40,0.800000011920929,1.28999996185303,40
220,1332299490063.256660,25.5,40,0.800000011920929,1.26999998092651,40
221,1332299490362.941860,25.6000003814697,40,0.822534143924713,1.25,40
222,1332299490663.261480,25.7000007629395,40,0.800000011920929,1.23000001907349,40
223,1332299490962.942140,25.7000007629395,40,0.800000011920929,1.21000003814697,40
224,1332299491263.234180,25.7999992370605,40,0.800000011920929,1.21000003814697,40
225,1332299491563.226280,25.7999992370605,40,0.800000011920929,1.20000004768372,40
226,1332299491863.236220,25.7999992370605,40,0.800000011920929,1.19000005722046,40
227,1332299492163.247260,25.7999992370605,40,0.800000011920929,1.16999995708466,40
228,1332299492463.276880,25.7999992370605,40,0.800000011920929,1.14999997615814,40
229,1332299492763.296540,25.7999992370605,40,0.800000011920929,1.13999998569489,40
230,1332299493063.257740,25.8999996185303,40,0.800000011920929,1.12999999523163,40
231,1332299493363.249380,25.8999996185303,40,0.800000011920929,1.12000000476837,40
232,1332299493663.223540,26,40,0.800000011920929,1.11000001430511,40
233,1332299493963.213720,26.1000003814697,40,0.800000011920929,1.10000002384186,40
234,1332299494263.270320,26.2000007629395,40,0.800000011920929,1.10000002384186,40
235,1332299494563.210340,26.2999992370605,40,0.873363733291626,1.0900000333786,40
236,1332299494863.225120,26.5,40,0.947410464286804,1.08000004291534,40
237,1332299495163.248540,26.6000003814697,40,0.960454523563385,1.07000005245209,40
238,1332299495463.276140,26.7000007629395,40,0.850972473621368,1.05999994277954,40
239,1332299495763.220740,26.8999996185303,40,0.894790709018707,1.05999994277954,40
240,1332299496063.279720,27,40,0.813673138618469,1.04999995231628,40
241,1332299496363.223840,27.1000003814697,40,0.800000011920929,1.04999995231628,40
242,1332299496663.242040,27.2000007629395,40,0.888127028942108,1.04999995231628,40
243,1332299496963.218840,27.2999992370605,40,0.9100421667099,1.03999996185303,40
244,1332299497263.271800,27.3999996185303,40,0.810827612876892,1.04999995231628,40
245,1332299497563.309920,27.5,40,0.800000011920929,1.03999996185303,40
246,1332299497863.281920,27.6000003814697,40,0.847090601921082,1.02999997138977,40
247,1332299498163.235480,27.7000007629395,40,0.800000011920929,1.02999997138977,40
248,1332299498463.250880,27.7999992370605,40,0.800000011920929,1.01999998092651,40
249,1332299498763.223640,27.8999996185303,40,0.800000011920929,1.00999999046326,40
250,1332299499063.247460,27.8999996185303,40,0.800000011920929,1.00999999046326,40
251,1332299499363.292560,28,40,0.827996075153351,1.00999999046326,40
252,1332299499663.268440,28.1000003814697,40,0.800000011920929,1,40
253,1332299499962.949380,28.2000007629395,40,0.800000011920929,1,40
254,1332299500263.224660,28.2999992370605,40,0.800000011920929,1,40
255,1332299500563.267700,28.3999996185303,40,0.800000011920929,1,40
256,1332299500863.244360,28.5,40,0.843271434307098,0.990000009536743,40
257,1332299501163.232580,28.5,40,0.804342269897461,0.990000009536743,40
258,1332299501463.255960,28.6000003814697,40,0.800000011920929,0.980000019073486,40
259,1332299501763.204140,28.7000007629395,40,0.880798757076263,0.980000019073486,40
260,1332299502063.216840,28.7999992370605,40,0.851803660392761,0.970000028610229,40
261,1332299502363.221380,28.7999992370605,40,0.800000011920929,0.970000028610229,40
262,1332299502663.208660,28.8999996185303,40,0.800000011920929,0.959999978542328,40
263,1332299502962.928980,28.8999996185303,40,0.800000011920929,0.959999978542328,40
264,1332299503263.239640,28.8999996185303,40,0.800000011920929,0.949999988079071,40
265,1332299503562.947620,28.8999996185303,40,0.800000011920929,0.939999997615814,40
266,1332299503862.838200,29,40,0.800000011920929,0.930000007152557,40
267,1332299504162.811420,29,40,0.800000011920929,0.930000007152557,40
