Sample,X(ms) [28.03.2012 20:58:20 264 UTC],"Signals_DB.Heater_Flow_SP","Signals_DB.Heater_Flow","Signals_DB.Heater_Tout","Signals_DB.AutoOrManual"
148,1332968315064.228740,8.41243076324463,7.96000003814697,38.4000015258789,0
149,1332968315164.217160,8.41243076324463,7.96999979019165,38.4000015258789,0
150,1332968315264.270320,8.42693710327148,7.96999979019165,38.2999992370605,0
151,1332968315364.248040,8.42693710327148,7.98999977111816,38.2000007629395,0
152,1332968315464.248640,8.42693710327148,8.01000022888184,38.2000007629395,0
153,1332968315564.317040,8.23957633972168,8.03999996185303,38.0999984741211,0
154,1332968315664.260280,8.23957633972168,8.06999969482422,38.0999984741211,0
155,1332968315764.231620,8.23957633972168,8.10000038146973,38,0
156,1332968315864.272900,8.23694133758545,8.10999965667725,37.9000015258789,0
157,1332968315964.305460,8.23694133758545,8.13000011444092,37.9000015258789,0
158,1332968316064.248560,8.23694133758545,8.14999961853027,37.7999992370605,0
159,1332968316164.258260,8.17410755157471,8.15999984741211,37.7000007629395,0
160,1332968316264.258980,8.17410755157471,8.18000030517578,37.7000007629395,0
161,1332968316364.258720,8.17410755157471,8.1899995803833,37.5999984741211,0
162,1332968316464.266400,8.15175533294678,8.19999980926514,37.5,0
163,1332968316564.272360,8.15175533294678,8.19999980926514,37.5,0
164,1332968316664.255660,8.15175533294678,8.19999980926514,37.4000015258789,0
165,1332968316764.258400,8.07460498809814,8.1899995803833,37.2000007629395,0
166,1332968316864.339960,8.07460498809814,8.17000007629395,37.2000007629395,0
167,1332968316964.229960,8.07460498809814,8.14999961853027,37.0999984741211,0
168,1332968317064.257980,7.96870708465576,8.14000034332275,37,0
169,1332968317164.248940,7.96870708465576,8.11999988555908,36.9000015258789,0
170,1332968317264.254200,7.96870708465576,8.10999965667725,36.7999992370605,0
171,1332968317364.274580,7.91639757156372,8.09000015258789,36.7999992370605,0
172,1332968317464.242180,7.91639757156372,8.06999969482422,36.7000007629395,0
173,1332968317564.311920,7.91639757156372,8.05000019073486,36.5999984741211,0
174,1332968317664.299840,7.95759391784668,8.03999996185303,36.5,0
175,1332968317764.272020,7.95759391784668,8.02000045776367,36.5,0
176,1332968317864.255080,7.95759391784668,8,36.4000015258789,0
177,1332968317964.266620,8.04288101196289,7.98999977111816,36.2999992370605,0
178,1332968318064.247720,8.04288101196289,7.98000001907349,36.2999992370605,0
179,1332968318164.247260,8.04288101196289,7.96999979019165,36.2000007629395,0
180,1332968318264.291820,8.08012866973877,7.96000003814697,36.0999984741211,0
181,1332968318364.410800,8.08012866973877,7.94999980926514,36,0
182,1332968318464.246600,8.08012866973877,7.94000005722046,36,0
183,1332968318564.259660,8.02529525756836,7.94000005722046,35.9000015258789,0
184,1332968318664.228340,8.02529525756836,7.94000005722046,35.7999992370605,0
185,1332968318764.317980,8.02529525756836,7.92999982833862,35.7000007629395,0
186,1332968318864.278460,7.92601346969604,7.92999982833862,35.5999984741211,0
187,1332968318964.227400,7.92601346969604,7.92999982833862,35.5999984741211,0
188,1332968319064.301300,7.92601346969604,7.92999982833862,35.5,0
189,1332968319164.286660,8.01660060882568,7.94000005722046,35.4000015258789,0
190,1332968319264.292720,8.01660060882568,7.94000005722046,35.4000015258789,0
191,1332968319364.247120,8.01660060882568,7.94000005722046,35.2999992370605,0
192,1332968319464.291160,8.12572765350342,7.94000005722046,35.2999992370605,0
193,1332968319564.241100,8.12572765350342,7.94000005722046,35.0999984741211,0
194,1332968319664.215480,8.12572765350342,7.94000005722046,35.0999984741211,0
195,1332968319764.251520,7.96176671981812,7.94999980926514,35,0
196,1332968319864.247300,7.96176671981812,7.94999980926514,34.9000015258789,0
197,1332968319964.239360,7.96176671981812,7.94999980926514,34.9000015258789,0
198,1332968320064.281220,8.02387046813965,7.94999980926514,34.7999992370605,0
199,1332968320163.953940,8.02387046813965,7.94999980926514,34.7000007629395,0
200,1332968320264.254920,8.02387046813965,7.94999980926514,34.7000007629395,0
201,1332968320364.299520,8.04829120635986,7.94999980926514,34.5999984741211,0
202,1332968320464.235840,8.04829120635986,7.96000003814697,34.5,0
203,1332968320564.242460,8.04829120635986,7.96999979019165,34.4000015258789,0
204,1332968320664.248100,7.91356372833252,7.98999977111816,34.2999992370605,0
205,1332968320764.244880,7.91356372833252,8.01000022888184,34.2000007629395,0
206,1332968320863.958940,7.91356372833252,8.01000022888184,34.2000007629395,0
207,1332968320964.252200,7.9152193069458,8.01000022888184,34.0999984741211,0
208,1332968321064.325960,7.9152193069458,8.01000022888184,34,0
209,1332968321164.297640,7.9152193069458,8.01000022888184,33.9000015258789,0
210,1332968321264.286840,7.90758657455444,8.02000045776367,33.9000015258789,0
211,1332968321364.237060,7.90758657455444,8.02000045776367,33.7999992370605,0
212,1332968321463.964500,7.90758657455444,8.02000045776367,33.7999992370605,0
213,1332968321564.338940,8.03847217559814,8.02999973297119,33.7000007629395,0
214,1332968321663.955860,8.03847217559814,8.02999973297119,33.7000007629395,0
215,1332968321764.249760,8.03847217559814,8.02999973297119,33.5999984741211,0
216,1332968321864.316260,8.09488964080811,8.03999996185303,33.5,0
217,1332968321964.251580,8.09488964080811,8.05000019073486,33.5,0
218,1332968322064.236300,8.09488964080811,8.0600004196167,33.4000015258789,0
